name,tactical_style,attacking_potency,defensive_solidity,big_game_performance,youth_development,squad_management,transfer_acumen,adaptability,media_relations,fan_connection,board_harmony,long_term_vision,fit_score
Thomas Frank,6.479849414632024,5.5,6.189189189189186,5.166666666666667,2.9444444444444446,4.833333333333328,7.5,6.0,8.695652173913043,4.0,9.347826086956522,3.6296296296296298,5.9
Marco Silva,5.5850415633024335,3.4999999999999996,6.678895562228893,4.6080246913580245,3.833333333333333,8.966666666666663,3.03743961352657,3.774691358024691,10.0,7.0,10.0,3.2037037037037037,5.8
Oliver Glasner,4.3478260869565215,4.277777777777779,6.7037037037037015,8.231481481481481,0.0,2.7083333333333295,3.321256038647343,7.814814814814814,6.521739130434781,1.3333333333333333,8.26086956521739,0.1851851851851852,4.6
Mauricio Pochettino,5.249271010140574,7.222222222222221,5.740836074169408,7.125220458553791,8.055555555555555,5.958333333333334,5.0,7.958553791887124,4.347826086956523,10.0,7.173913043478262,8.703703703703704,6.7
Xavi Hernández,3.603603603603604,9.11111111111111,3.603603603603604,7.916666666666667,7.0,0.0,3.502415458937198,8.333333333333334,0.0,2.3333333333333335,5.0,5.407407407407407,4.8
Kieran McKenna,5.087696392044216,9.166666666666666,4.234234234234234,3.3333333333333335,5.388888888888889,9.375,3.617149758454106,5.833333333333333,6.521739130434781,4.166666666666666,8.26086956521739,3.685185185185185,5.8
Andoni Iraola,5.524546285415849,0.0,4.046093712760379,1.7570546737213402,1.3888888888888888,4.041666666666666,3.2608695652173916,1.3403880070546734,2.1739130434782616,0.0,6.086956521739131,0.9259259259259259,2.6
Roberto De Zerbi,6.11111111111111,8.666666666666666,4.314253647586987,8.647586980920314,3.7777777777777777,3.083333333333343,8.007246376811594,7.81425364758698,4.347826086956523,3.0,7.173913043478262,4.7407407407407405,5.9
